City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descp
199,Mangrol,IN,21.12,70.12,82.6,71,61,10.78,broken clouds
200,Auki,SB,-8.77,160.7,77.74,79,100,2.57,moderate rain
201,Megion,RU,61.03,76.11,28.4,92,90,6.71,light snow
202,Hobart,AU,-42.88,147.33,51.8,87,90,6.93,overcast clouds
203,Basco,PH,20.45,121.97,81.0,85,100,33.93,overcast clouds
204,Kieta,PG,-6.22,155.63,79.95,78,98,4.03,light rain
205,Hambantota,LK,6.12,81.12,79.88,81,65,15.12,broken clouds
206,Pundaguitan,PH,6.37,126.17,83.17,78,99,9.15,overcast clouds
207,Kavaratti,IN,10.57,72.64,80.85,77,77,15.73,broken clouds
208,Kodiak,US,57.79,-152.41,46.4,70,90,20.8,overcast clouds
209,Stephenville,US,32.22,-98.2,82.0,57,75,14.99,broken clouds
210,Salina,US,38.84,-97.61,78.8,57,75,23.04,broken clouds
211,Phan Thiet,VN,10.93,108.1,75.78,88,100,3.29,overcast clouds
212,Aksha,RU,50.28,113.29,28.27,93,0,2.01,clear sky
213,Buenavista,PH,8.98,125.41,77.85,84,100,2.93,overcast clouds
214,Lahij,YE,13.17,44.58,83.23,38,61,3.0,broken clouds
215,Saumur,FR,47.33,-0.25,62.6,82,75,4.34,broken clouds
216,Itaguai,BR,-22.85,-43.78,78.8,57,40,19.46,scattered clouds
217,Rocha,UY,-34.48,-54.33,59.22,86,100,12.55,overcast clouds
218,Rio Gallegos,AR,-51.62,-69.22,60.8,38,40,12.75,scattered clouds
219,Cayenne,GF,4.93,-52.33,91.4,55,23,10.29,few clouds
220,Iguape,BR,-24.71,-47.56,76.84,71,2,11.59,clear sky
221,Opuwo,NA,-18.06,13.84,74.71,37,67,9.84,broken clouds
222,Wencheng,CN,33.06,113.8,55.98,46,0,2.48,clear sky
223,Tyulgan,RU,52.34,56.17,27.57,94,61,8.63,light snow
224,Bubaque,GW,11.28,-15.83,83.37,78,5,9.75,light rain
225,Lata,PT,40.16,-8.33,62.01,77,0,1.01,clear sky
226,Crewe,GB,53.1,-2.44,50.0,73,61,1.99,broken clouds
227,Pimenta Bueno,BR,-11.67,-61.19,98.73,35,53,2.13,broken clouds
228,Saky,UA,45.14,33.6,60.75,77,0,9.4,clear sky
229,Airai,TL,-8.93,125.41,61.21,100,72,0.63,broken clouds
230,Ponta Do Sol,PT,32.67,-17.1,69.8,56,40,2.24,scattered clouds
231,Praia Da Vitoria,PT,38.73,-27.07,68.0,82,20,10.31,few clouds
232,Esperance,AU,-33.87,121.9,55.4,100,75,4.7,broken clouds
233,Murliganj,IN,25.9,86.98,75.96,86,34,6.58,scattered clouds
234,Piney Green,US,34.72,-77.32,82.0,54,40,9.17,scattered clouds
235,Tucuma,BR,-0.18,-50.05,90.12,52,73,10.02,broken clouds
236,Kysyl-Syr,RU,63.9,122.76,12.36,95,31,5.48,scattered clouds
237,Port Shepstone,ZA,-30.74,30.45,69.37,86,48,25.77,scattered clouds
238,Georgetown,MY,5.41,100.34,78.8,88,20,3.36,few clouds
239,Pevek,RU,69.7,170.31,29.61,96,0,20.2,clear sky
240,Tromso,NO,69.65,18.96,32.0,91,75,8.05,broken clouds
241,Hovd,MN,48.01,91.64,35.55,70,59,1.5,broken clouds
242,Okato,NZ,-39.2,173.88,50.0,94,0,5.99,clear sky
243,Lebu,CL,-37.62,-73.65,54.48,71,7,13.65,clear sky
244,Mont-Joli,CA,48.58,-68.19,46.4,65,75,17.22,broken clouds
245,Maloy,NO,61.94,5.11,44.6,80,20,13.87,few clouds
246,Asau,RO,46.43,26.4,55.0,67,0,5.7,clear sky
247,Bell Ville,AR,-32.63,-62.69,64.99,88,99,1.99,moderate rain
248,Vanimo,PG,-2.67,141.3,76.41,78,96,1.79,overcast clouds
249,Almaznyy,RU,48.04,40.05,59.0,72,20,11.18,few clouds
250,Balsas,BR,-7.53,-46.04,104.41,15,2,7.34,clear sky
251,Tabou,CI,4.42,-7.35,78.96,85,45,6.82,scattered clouds
252,Timizart,DZ,36.8,4.27,70.7,38,68,6.26,broken clouds
253,Batemans Bay,AU,-35.72,150.18,60.01,98,61,3.58,broken clouds
254,Hualmay,PE,-11.1,-77.61,70.41,65,70,11.1,broken clouds
255,Altay,CN,47.87,88.12,42.53,51,20,5.28,few clouds
256,Gazojak,TM,41.19,61.4,46.56,55,60,8.19,broken clouds
257,Nanortalik,GL,60.14,-45.24,32.23,83,0,22.17,clear sky
258,Sitka,US,57.05,-135.33,35.6,37,1,5.82,clear sky
259,Bulgan,MN,48.81,103.53,32.27,82,0,2.59,clear sky
260,Ocampo,MX,21.65,-101.5,70.7,29,0,5.86,clear sky
261,Kyshtovka,RU,56.55,76.63,31.78,94,81,4.59,broken clouds
262,Cam Ranh,VN,11.92,109.16,82.4,78,40,4.7,scattered clouds
263,Mount Isa,AU,-20.73,139.5,73.4,83,90,3.36,overcast clouds
264,Luderitz,NA,-26.65,15.16,60.55,78,0,11.41,clear sky
265,Cambridge,CA,43.36,-80.31,52.0,93,90,5.82,overcast clouds
266,Gamba,GA,-2.65,10.0,76.77,87,63,7.29,broken clouds
267,Mirnyy,RU,62.54,113.96,28.4,92,90,6.71,mist
268,Never,FR,46.99,3.16,59.0,93,100,2.24,overcast clouds
269,Punta Alta,AR,-38.88,-62.07,66.63,60,83,7.23,broken clouds
270,General Roca,AR,-39.03,-67.58,66.2,55,0,6.93,clear sky
271,Katsuura,JP,35.13,140.3,64.4,77,75,12.75,shower rain
272,Qaqortoq,GL,60.72,-46.03,28.4,63,20,3.36,few clouds
273,Cherskiy,RU,68.75,161.3,18.19,94,27,5.3,scattered clouds
274,Sabha,LY,27.04,14.43,76.84,33,0,9.53,clear sky
275,Husavik,IS,66.04,-17.34,41.0,65,90,5.82,overcast clouds
276,Deputatskiy,RU,69.3,139.9,0.34,91,3,3.22,clear sky
277,Erzin,TR,36.96,36.2,78.01,72,0,1.95,clear sky
278,Ishigaki,JP,24.34,124.16,73.87,84,100,30.2,overcast clouds
279,Marzuq,YE,14.4,46.47,73.49,20,89,4.99,overcast clouds
280,Nioro,GM,13.35,-15.75,90.52,45,27,2.42,scattered clouds
281,Pryozerne,UA,45.27,36.33,59.41,77,0,9.51,clear sky
282,Hasaki,JP,35.73,140.83,61.0,100,75,8.05,light rain
283,Alofi,NU,-19.06,-169.92,73.4,94,100,12.75,overcast clouds
284,Oktyabrskiy,RU,54.48,53.47,28.04,97,70,7.43,broken clouds
285,Massakory,TD,13.0,15.73,92.17,11,0,10.31,clear sky
286,Severo-Yeniseyskiy,RU,60.37,93.04,34.43,97,100,17.58,overcast clouds
287,Bonthe,SL,7.53,-12.51,81.28,79,92,8.52,light rain
288,Newton,US,42.34,-71.21,75.2,72,10,4.7,clear sky
289,Ialibu,PG,-6.28,143.99,56.26,98,100,1.32,overcast clouds
290,Mount Gambier,AU,-37.83,140.77,53.6,93,90,3.36,light rain
291,Grindavik,IS,63.84,-22.43,42.8,81,75,34.45,broken clouds
292,Puno,PE,-15.83,-70.03,53.6,62,75,11.41,broken clouds
293,Pleshanovo,RU,52.83,53.48,30.09,92,53,7.16,broken clouds
294,Marawi,PH,8.0,124.29,77.0,85,99,5.99,overcast clouds
295,Dandong,CN,40.13,124.39,36.77,74,0,8.46,clear sky
296,Hit,IQ,33.64,42.83,78.24,20,0,11.9,clear sky
297,Khandyga,RU,62.67,135.6,12.81,95,100,3.49,overcast clouds
298,Narnaund,IN,29.22,76.15,73.49,25,0,1.28,clear sky
299,Kiunga,PG,-6.12,141.29,72.19,96,78,1.45,broken clouds
300,Port Elizabeth,ZA,-33.92,25.57,68.0,88,20,10.29,few clouds
301,Lianzhou,CN,24.78,112.38,57.79,77,0,4.83,clear sky
302,Fotolivos,GR,41.07,24.07,64.0,72,0,2.24,clear sky
303,Nampula,MZ,-15.12,39.27,82.4,48,0,14.99,clear sky
304,Shingu,JP,33.73,135.98,69.85,91,100,8.7,moderate rain
305,Kawalu,ID,-7.38,108.21,72.43,91,96,1.5,light rain
306,Sorata,BO,-15.77,-68.63,56.07,63,58,10.31,light rain
307,Aklavik,CA,68.22,-135.01,17.6,85,90,8.05,light snow
308,Portland,US,45.52,-122.68,42.8,81,90,6.93,overcast clouds
309,Sinjhoro,PK,26.03,68.81,77.0,50,4,4.7,haze
310,Mantua,IT,45.17,10.78,57.0,91,85,1.99,overcast clouds
311,Sagua La Grande,CU,22.81,-80.08,84.2,74,75,11.41,broken clouds
312,Santa Rosa,PH,14.31,121.11,80.6,83,75,6.93,broken clouds
313,Demyansk,RU,57.64,32.47,49.86,92,100,9.51,light rain
314,Morris,US,40.83,-74.53,69.8,100,90,3.51,mist
315,Tilichiki,RU,60.47,166.1,31.14,98,80,4.85,broken clouds
316,Sibu,MY,2.3,111.82,77.0,88,40,1.12,heavy intensity rain
317,Hofn,IS,64.25,-15.21,41.0,80,90,13.87,shower rain
318,Labuhan,ID,-6.88,112.21,80.73,78,9,1.48,clear sky
319,Locri,IT,38.24,16.26,64.4,59,0,8.05,clear sky
320,Matara,LK,5.95,80.54,79.03,85,53,10.04,broken clouds
321,Cartagena,CO,10.4,-75.51,87.8,74,40,11.41,scattered clouds
322,Jiwani,PK,25.05,61.74,77.11,53,0,6.02,clear sky
323,Morgan City,US,29.7,-91.21,88.0,78,90,10.29,overcast clouds
324,Huarmey,PE,-10.07,-78.15,70.83,64,34,11.5,scattered clouds
325,Regina,CA,50.45,-104.62,25.0,67,75,14.99,broken clouds
326,Yangambi,CD,0.81,24.43,72.73,98,99,1.57,light rain
327,Novikovo,RU,51.15,37.89,50.29,70,94,8.97,overcast clouds
328,Howard Springs,AU,-12.5,131.05,79.0,88,77,1.12,broken clouds
329,Porbandar,IN,21.64,69.61,82.65,64,39,9.75,scattered clouds
330,Manta,EC,-0.95,-80.73,77.0,73,40,6.93,scattered clouds
331,Camabatela,AO,-8.19,15.38,65.25,99,93,5.48,light rain
332,Havre-Saint-Pierre,CA,50.23,-63.6,42.8,56,90,16.11,overcast clouds
333,Anadyr,RU,64.75,177.48,33.8,86,0,8.95,clear sky
334,Ekibastuz,KZ,51.67,75.37,39.52,70,80,15.23,broken clouds
335,Namibe,AO,-15.2,12.15,71.13,82,25,7.23,scattered clouds
336,Bridlington,GB,54.08,-0.19,51.8,66,31,11.41,scattered clouds
337,Timmins,CA,48.47,-81.33,37.4,78,90,6.93,overcast clouds
338,Lerwick,GB,60.15,-1.15,42.8,81,40,8.05,scattered clouds
339,Broken Hill,AU,-31.95,141.43,68.0,64,90,11.41,overcast clouds
340,Hirara,JP,24.8,125.28,74.26,85,100,30.74,overcast clouds
341,Boyolangu,ID,-8.12,111.89,76.41,88,50,3.49,scattered clouds
342,Kununurra,AU,-15.77,128.73,82.4,78,40,5.82,scattered clouds
343,Chippewa Falls,US,44.94,-91.39,34.0,86,90,9.17,mist
344,Mahibadhoo,MV,3.78,72.97,82.49,79,12,13.27,light rain
345,Palmer,US,42.16,-72.33,73.99,56,20,1.68,few clouds
346,Payo,ID,-3.75,103.64,74.03,89,100,1.12,light rain
347,Luanda,AO,-8.84,13.23,78.8,78,40,8.05,scattered clouds
348,Bibiani,GH,6.46,-2.32,78.69,77,31,3.11,light rain
349,Ruteng,ID,-8.61,120.47,63.81,100,46,1.83,scattered clouds
350,Roma,US,43.21,-75.46,60.8,67,90,4.7,light rain
351,Sena Madureira,BR,-9.07,-68.66,97.18,37,76,0.49,light rain
352,Alice,US,27.75,-98.07,86.0,66,20,6.93,few clouds
353,Taoudenni,ML,22.68,-3.98,87.12,13,4,2.53,clear sky
354,Prince Rupert,CA,54.32,-130.32,37.4,93,1,5.82,clear sky
355,Fairbanks,US,64.84,-147.72,17.01,92,1,8.05,clear sky
356,Linxia,CN,35.6,103.21,45.37,56,0,1.61,clear sky
357,Topchanchi,IN,23.9,86.2,74.3,88,41,4.0,scattered clouds
358,Bahia Blanca,AR,-38.72,-62.27,69.75,52,84,4.76,broken clouds
359,Sambava,MG,-14.27,50.17,75.2,78,32,14.63,scattered clouds
360,Erzurum,TR,40.0,41.5,48.2,49,0,5.82,clear sky
361,Narsaq,GL,60.92,-46.05,28.4,63,20,3.36,few clouds
362,Waitati,NZ,-45.75,170.57,50.0,87,100,3.0,overcast clouds
363,Abnub,EG,27.27,31.15,86.0,37,0,11.41,clear sky
364,Buraydah,SA,26.33,43.98,78.8,24,0,4.7,clear sky
