City_ID,City,Country,Max Temp,Weather Descp,Lat,Lng,Hotel Name
270,General Roca,AR,66.2,clear sky,-39.03,-67.58,Hotel El Recreo
271,Katsuura,JP,64.4,shower rain,35.13,140.3,Katsuura Hotel Mikazuki
274,Sabha,LY,76.84,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
275,Husavik,IS,41.0,overcast clouds,66.04,-17.34,Bjarnabúð
277,Erzin,TR,78.01,clear sky,36.96,36.2,Artemis Otel
278,Ishigaki,JP,73.87,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
282,Hasaki,JP,61.0,light rain,35.73,140.83,Inubosaki Kanko Hotel
283,Alofi,NU,73.4,overcast clouds,-19.06,-169.92,Taloa Heights
287,Bonthe,SL,81.28,light rain,7.53,-12.51,Bonthe Holiday Village
288,Newton,US,75.2,clear sky,42.34,-71.21,Hotel Indigo Boston - Newton Riverside
289,Ialibu,PG,56.26,overcast clouds,-6.28,143.99,Kagena-Yapu guest Homes
290,Mount Gambier,AU,53.6,light rain,-37.83,140.77,Commodore on the Park
291,Grindavik,IS,42.8,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
292,Puno,PE,53.6,broken clouds,-15.83,-70.03,Hotel Hacienda Plaza De Armas - Puno
294,Marawi,PH,77.0,overcast clouds,8.0,124.29,Derogongan Residence
296,Hit,IQ,78.24,clear sky,33.64,42.83,Aboody Alhachem
298,Narnaund,IN,73.49,clear sky,29.22,76.15,Sandeep Dangi House.
299,Kiunga,PG,72.19,broken clouds,-6.12,141.29,Airport Lodge Kiunga
300,Port Elizabeth,ZA,68.0,few clouds,-33.92,25.57,39 On Nile Guest House
301,Lianzhou,CN,57.79,clear sky,24.78,112.38,Qingcheng Tourism Industry
302,Fotolivos,GR,64.0,clear sky,41.07,24.07,House in the Village
303,Nampula,MZ,82.4,clear sky,-15.12,39.27,Tacab Residencial
304,Shingu,JP,69.85,moderate rain,33.73,135.98,Shingu UI Hotel
305,Kawalu,ID,72.43,light rain,-7.38,108.21,KOSAN UNGU UNSIK
306,Sorata,BO,56.07,light rain,-15.77,-68.63,El Encanto Sorata
308,Portland,US,42.8,overcast clouds,45.52,-122.68,Portland Marriott City Center
309,Sinjhoro,PK,77.0,haze,26.03,68.81,adil Mobile shop
310,Mantua,IT,57.0,overcast clouds,45.17,10.78,Hotel la Favorita
311,Sagua La Grande,CU,84.2,broken clouds,22.81,-80.08,Hotel Amaro
312,Santa Rosa,PH,80.6,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
313,Demyansk,RU,49.86,light rain,57.64,32.47,Demyanskaya Gostinitsa
314,Morris,US,69.8,mist,40.83,-74.53,Parsippany Inn and Suites Morris Plains
316,Sibu,MY,77.0,heavy intensity rain,2.3,111.82,RH HOTEL (4 Star)
317,Hofn,IS,41.0,shower rain,64.25,-15.21,Hótel Höfn
318,Labuhan,ID,80.73,clear sky,-6.88,112.21,bador sepret
319,Locri,IT,64.4,clear sky,38.24,16.26,Grand Hotel President
